"tokenAddress","positionId","deployer","fid","name","symbol","supply","lockerAddress","castHash"
"0x3f6DcB8fD83f21E420944EF4Df4c5d87df7ec541",1518807,"0x93f048bEeF7b0092628cDCAA25f3645f368Eaa99",332469,"ClankerION","ClankerION",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xef929560b098929dbef9dfbada70c078b9e8a636"
"0x05fD306a1c28a02E3e23db272e02957Bc81B2844",1518809,"0x26bEfbfE356adF98d30523cF57b94951938A0F71",255108,"Clanker Human","Human",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xf2800426c86d85bb36d9a1bd3c584e17fa2f4968"
"0x376530A720A283C5Ab22Bb941Db954f1f6790b16",1518835,"0x9474ebdB2449FAA0f5a06307F03eD3b29Bf41847",899289,"autizzm","AUTZ",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x61b8064c7b88dbcab2e185d5b1ac600064c8fc55"
"0x3BF697b04266e5DE1583bEA8048759988BDCAe54",1518840,"0xb832dEc07E0C3d41Be013963f8548613Ed4D25ac",880090,"Wedegen Agents","Wedegen Agents",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x8c7b4e742780741512017a2ede89865e3c636057"
"0x21435aAAf9F40937524269fA91FC1bb3dA3CCa3e",1518883,"0xBA38DCD72326224eDd587Ac6F643e2C0dc91d95F",904021,"BASED OCTANT-AI","OCTANT",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xfb4929a2b9806ffc19b1db9f827837e1af0f9e20"
"0x1E1c5F7b0fD7c4654f27b9260E51eef807a64b5A",1518903,"0x37F1607F4D11910b96Bcb0EB9926FbE4650E052F",819119,"Pudgy Boys","PB",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x7c9691720dd09678e9f540e7c6b3be6859557977"
"0x25D8DBb01D29476302ed7A40B06F54aC26E5F404",1518912,"0x4dC83DF2d15E61fe63377F334D184c52F1b15Dd1",904015,"Andy Girls","ANDYGIRLS",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xf7ca06f7286906608d1447d34670ad12734c3d52"
"0x10beAf4B2d013046E0C6e95b2E8152ED5CC4eCA8",1518937,"0xDF102BEbD2159F50f544bb3953b674A9a9e2F296",897410,"Warpcast Reward","REWARD",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x4ba55df858a8a007f83a13ce6ee6b5188aa6b9a0"
"0x17892ea76Cf4844D7f9629Ee4989Cd6214Df4cd4",1518940,"0xb54542296845DBC8B2713549b4B0483Bd19652c8",897555,"Purple Dog","PURPLE",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x51cdff9c04b124b17506e57780a5b97c70275e56"
"0x373f45D708Efb0653b9fdA20C84102d345A286Fc",1518941,"0x5a5707185e614a78Da8A9cEC3fb994c1cF564910",211693,"ICE","ICE",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xe44812989e4fafc3eaa730f8cc114b0369619fc4"
"0x02BA349C38EdbD5280De20F929867475E782ECEA",1518968,"0x541814Fe03CD435b5C82FC59A821546442019756",309365,"DEGEN WARPS PINGUINS","DWP",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x33669d0157ec64ab44ec2a0e8b12307b51423cc5"
"0x268178DFE64A3126B3a6fDd882FF086df3954224",1519008,"0x3E63c0a60c8Ec32cf4e0aea0DD5DF271AC95c4a6",901714,"based omni","Agent Omni",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x658438f4caa2ef39ad2145b14ed772e3a169a160"
"0x0949e9Ccb085d1c728CDEa2bbC556D86F42019AB",1519035,"0x828bc1d6Ec4Aeb858fe15Db45b173c8EfBa4d963",318864,"FORNITE FRAME","FORN",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x9c5fd5062262656b0165fa145d810eb32b5fac09"
"0x109e8A3F0d879A17268FfCab7430e3025CF7C58a",1519036,"0x138B446694A9333F4Eb831103503fc78E0247C1e",427331,"tired man","TMAN",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x38a50463d997f567c6338400c206d0188a1b234f"
"0x2AA2CdB06a9903AC2fA5de1AA31f0353D826c922",1519048,"0x27cA0b974c3B539Ba9A55b85e7718F34bc1d269D",715232,"Token 95bits","95BITS",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xe624ee18c9ef1e4ee4ab8ef6b8529336398cd32c"
"0x035035c1f5062c895d0B969979485358a8CC34Ca",1519050,"0xc0E46e817daaab13c6B6424BeeB0E053C5f32C3B",898588,"KING PUNGE","KINGPUNGE",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x6b93a575666a35d21da6dd80d05a995d513f43aa"
"0x0E0F97bc4F2Cd52C080a9268BaB399228182920b",1519054,"0x37F1607F4D11910b96Bcb0EB9926FbE4650E052F",819119,"Pudgy Boys","PB",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x0216a2051ccc36da50393449d05fd93e99a0b05b"
"0x3c3258EeDae5B87f0f8B0348B8777e5C0834fA1D",1519059,"0x37F1607F4D11910b96Bcb0EB9926FbE4650E052F",819119,"Pudgy Boys","PB",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xbd09b35e7c725da31f1930b73649e34a7e915e11"
"0x1A5F00f529625B78b7C582125514582ec83503c0",1519060,"0x31c41a808dE326714dF31132e3b42366e3519ce1",902750,"Pengu Party Club","PPC",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x6c7e5316369d34fc5b3083f32076417344a551d4"
"0x3C6B7190Cf257D592bce5cC8fDff48392568823B",1519061,"0x541814Fe03CD435b5C82FC59A821546442019756",309365,"IRON PENGU","IP",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xecb8baa859fcf4744e0d2c15beca6b7f3e89c648"
"0x0cD5C8cF577ecB1f606e388821181A1440231cF3",1519073,"0x556efF7cF7D1653548769431B45c9ca6464af09D",883067,"WeAreClankers🧬","WAC",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xcd5bb2ae9b573e15d9da163c33ee5f5bd7859675"
"0x1C5a204d4E5bF50be4dFd9984D179f89414C6f07",1519074,"0x2680BFe424B20B60f60b5c3de7Bf232f89EDc68a",535087,"SHIBABONK","SBONK",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x5e3f6052016a96e76b7566552d8806c0966668e0"
"0x1171B4a6839298ec46530a93B0BDE482b5f857aa",1519120,"0xc0E46e817daaab13c6B6424BeeB0E053C5f32C3B",898588,"LOOKING","LOOKING",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x00e57f93934a02c1a1aa037fbb59c7dab9ca3187"
"0x100A2199037f3B35f34391FBf8a8c57d6B933AA9",1519121,"0xB19ED655c8d2E57404AcB57469a352D0844f3CA6",902176,"SKI MASK MIGGLES","SKIGGLES",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xb2db72e6c62630736f1c3e8514b5eccafe17c4e3"
